Address,subdiv.x,treat,eoc_diff,sold,fname,htype,hstatus,harea,lp,address,taxloc,city,county,high,total_hla,unheated_sqft,add_sqft,beds,baths,main_hla,main_un,upper_hla,upper_un,lower_hla,lower_un,bsmt_hla,bsmt_un,third_hla,third_un,new_construct,year_built,elem,middle,high__1,dimension,acres,tax_value,zoning,htype__1,style,exterior,parking,driveway,fireplace,fireplace_loc,floor,windows,water,hvac,heater,sp,sold__1,sold2,sold3,subdiv
430QUEENSRD221,NA,0,0,2005-03-22T00:00:00Z,listings_data/493411.html,Condo/Townhouse,Sold,41395,126500,430 Queens RD 221,Charlotte,"Charlotte,NC28207",Mecklenburg,Myers Park,910,0,NA,2,41306,910,0,0,0,0,0,0,0,NA,NA,No,1985,Eastover,Alexander Graham,Myers Park,NA,0,119700,R300,Mid-Rise,Transitional,Wood,Street / Lot,Asphalt,Yes,Living Room,"Ceramic Tile, Wall-to wall Carpet",NA,"City Sewer, City Water","Heat Pump - AC, Heat Pump - Heat",Electric,125500,2005-03-22T00:00:00Z,3222005,2013-03-05T00:00:00Z,NA
430QUEENSRD221,NA,0,0,2007-11-20T00:00:00Z,listings_data/720327.html,Condo/Townhouse,Sold,41395,1.50E+05,430 Queens RD 221,Charlotte,"Charlotte,NC28207",Mecklenburg,Myers Park,887,0,NA,2,41306,887,0,0,0,0,0,0,0,0,0,No,1985,Eastover,Alexander Graham,Myers Park,NA,0,119700,R22mf,Mid-Rise,Transitional,Wood,Street / Lot,Asphalt,Yes,Living Room,"Ceramic Tile, Vinyl / Linoleum, Wall-to wall Carpet",Insulated Windows,"City Sewer, City Water","Heat Pump - AC, Heat Pump - Heat",Electric,1.47E+05,2007-11-20T00:00:00Z,11202007,2013-11-07T00:00:00Z,NA
430QUEENSRD231,Myers Park Manor,0,0,2001-06-29T00:00:00Z,listings_data/114001.html,Condo/Townhouse,Sold,41395,124777,430 QUEENS RD 231,Charlotte,"CHARLOTTE,28207",Mecklenburg,Myers Park,898,0,100,2,41306,898,0,0,0,0,0,0,0,NA,NA,No,1985,Eastover,Alexander Graham,Myers Park,NA,0,83410,R22MF,Mid-Rise,Transitional,"Brick Veneer Partial, Wood, Hard Stucco, Shingle",Street / Lot,NA,No,NA,"Ceramic Tile, Wall-to wall Carpet, Vinyl / Linoleum",NA,"City Water, City Sewer",Heat Pump - AC,Electric,124700,2001-06-29T00:00:00Z,6292001,2013-06-01T00:00:00Z,NA
430QUEENSRD231,NA,0,0,2006-10-13T00:00:00Z,listings_data/619052.html,Condo/Townhouse,Sold,41395,1.55E+05,430 Queens RD 231,Charlotte,"Charlotte,NC28207",Mecklenburg,NA,910,0,0,2,41306,910,112,0,0,0,0,0,0,NA,NA,No,1985,NA,NA,NA,NA,0,119700,R300,Garden,Transitional,Wood,Street / Lot,Asphalt,Yes,Great Room,NA,NA,"City Sewer, City Water","Heat Pump - AC, Heat Pump - Heat",Electric,152750,2006-10-13T00:00:00Z,10132006,2013-10-06T00:00:00Z,Myers Park Manor
430QUEENSRD232,NA,0,0,2001-11-29T00:00:00Z,listings_data/121321.html,Condo/Townhouse,Sold,41395,1.23E+05,430 QUEENS RD 232,Charlotte,"CHARLOTTE,28207",Mecklenburg,Myers Park,900,0,110,2,41306,900,0,0,0,0,0,0,0,NA,NA,No,1985,Eastover,Alexander Graham,Myers Park,NA,0,83410,R22MF,Mid-Rise,Transitional,"Wood, Shingle",Street / Lot,NA,Yes,Living Room,"Ceramic Tile, Wall-to wall Carpet, Vinyl / Linoleum",NA,"City Water, City Sewer",Heat Pump - AC,Electric,1.20E+05,2001-11-29T00:00:00Z,11292001,2013-11-01T00:00:00Z,NA
430QUEENSRD232,NA,0,0,2005-05-25T00:00:00Z,listings_data/505775.html,Condo/Townhouse,Sold,41395,132500,430 Queens RD 232,Charlotte,"Charlotte,NC28207",Mecklenburg,Myers Park,910,0,112,2,41306,910,0,0,0,0,0,0,0,NA,NA,No,1985,Eastover,Alexander Graham,Myers Park,NA,0,119700,R22MF,Mid-Rise,Contemporary,"Cedar Shake, Hard Stucco, Wood",Street / Lot,NA,Yes,Living Room,"Ceramic Tile, Vinyl / Linoleum, Wall-to wall Carpet",NA,"City Sewer, City Water","Heat Pump - AC, Heat Pump - Heat",Electric,132500,2005-05-25T00:00:00Z,5252005,2013-05-05T00:00:00Z,NA
430QUEENSRD412,myers park,0,0,2001-10-10T00:00:00Z,listings_data/118488.html,Condo/Townhouse,Sold,41395,119900,430 QUEENS RD 412,Charlotte,"CHARLOTTE,28207-",Mecklenburg,West Charlotte,898,0,NA,2,41306,898,0,0,0,0,0,0,0,NA,NA,No,1985,Eastover,Alexander Graham,West Charlotte,NA,0,83160,R22MF,Mid-Rise,Traditional,Wood,NA,Concrete,Yes,Living Room,"Wood, Ceramic Tile, Wall-to wall Carpet, Vinyl / Linoleum",NA,"City Water, City Sewer","Central Air, Heat Pump - AC",Electric,1.16E+05,2001-10-10T00:00:00Z,10102001,2013-10-01T00:00:00Z,NA
430QUEENSRD412,NA,0,0,2004-08-16T00:00:00Z,listings_data/449921.html,Condo/Townhouse,Sold,41395,124900,430 Queens RD 412,Charlotte,"Charlotte,NC28207",mecklenburg,Myers Park,898,0,NA,2,41306,898,0,0,0,0,0,0,0,NA,NA,No,1985,Eastover,Alexander Graham,Myers Park,NA,0,119100,r43mf,Garden,Traditional,"Brick Veneer Partial, Shingle, Wood",Street / Lot,NA,Yes,Living Room,"Vinyl / Linoleum, Wall-to wall Carpet",NA,"City Sewer, City Water",Heat Pump - AC,Electric,124900,2004-08-16T00:00:00Z,8162004,2013-08-04T00:00:00Z,myers park
430QUEENSRD421,Myers Park Manor,0,0,2002-02-18T00:00:00Z,listings_data/149033.html,Condo/Townhouse,Sold,41395,1.26E+05,430 QUEENS RD 421,Mecklenburg,"CHARLOTTE,28207-1453",Mecklenburg,Unknown,898,0,NA,2,41306,898,0,0,0,0,0,0,0,NA,NA,No,1985,Unknown,Unknown,Unknown,NA,0,83160,MF,Mid-Rise,Traditional,Wood,2 Parking Spaces,NA,Yes,Living Room,"Ceramic Tile, Prefinished Wood",NA,"City Water, City Sewer","Central Air, Heat Pump - AC",Electric,122500,2002-02-18T00:00:00Z,2182002,2013-02-02T00:00:00Z,NA
430QUEENSRD421,NA,0,0,2004-10-28T00:00:00Z,listings_data/470461.html,Condo/Townhouse,Sold,41395,131500,430 Queens RD 421,Charlotte,"Charlotte,NC28207",Mecklenburg,NA,900,57,NA,2,41306,900,57,0,0,0,0,0,0,NA,NA,No,1985,NA,NA,NA,NA,0,119100,R43ML,Garden,Transitional,Wood,Street / Lot,Asphalt,Yes,Living Room,"Ceramic Tile, Prefinished Wood",NA,"City Sewer, City Water","Central Air, Heat Pump - Heat",Electric,131500,2004-10-28T00:00:00Z,10282004,2013-10-04T00:00:00Z,Myers Park Manor
430QUEENSRD422,Myers Park,0,0,2002-01-04T00:00:00Z,listings_data/142465.html,Condo/Townhouse,Sold,41395,123900,430 QUEENS RD 422,Charlotte,"CHARLOTTE,28207-",Mecklenburg,West Charlotte,898,0,NA,2,41306,898,0,0,0,0,0,0,0,NA,NA,No,1985,Eastover,Alexander Graham,West Charlotte,NA,0,83160,R43MF,Mid-Rise,Traditional,Wood,2 Parking Spaces,NA,Yes,Living Room,"Ceramic Tile, Wall-to wall Carpet, Vinyl / Linoleum",NA,"City Water, City Sewer",Heat Pump - AC,Electric,121500,2002-01-04T00:00:00Z,1042002,2013-01-02T00:00:00Z,NA
430QUEENSRD422,NA,0,0,2004-08-30T00:00:00Z,listings_data/462893.html,Condo/Townhouse,Sold,41395,124900,430 Queens RD 422,Charlotte,"Charlotte,NC28207",Mecklenburg,NA,895,0,NA,2,41306,895,0,0,0,0,0,0,0,NA,NA,No,1985,NA,NA,NA,NA,0,119100,R43ml,Mid-Rise,Transitional,Wood,Other,Asphalt,Yes,Great Room,"Ceramic Tile, Vinyl / Linoleum, Wall-to wall Carpet",NA,"City Sewer, City Water","Heat Pump - AC, Heat Pump - Heat",Electric,1.23E+05,2004-08-30T00:00:00Z,8302004,2013-08-04T00:00:00Z,Myers Park
430QUEENSRD431,Myers Park Manor,0,0,2003-03-27T00:00:00Z,listings_data/208291.html,Condo/Townhouse,Sold,41395,134900,430 QUEENS RD 431,Charlotte,"CHARLOTTE,28207",Mecklenburg,Unknown,1092,0,NA,2,41306,1092,0,0,0,0,0,0,0,NA,NA,No,1985,Unknown,Unknown,Unknown,NA,0,0,NA,Tri-Level,Traditional,Cedar Shake,Street / Lot,NA,Yes,Living Room,"Ceramic Tile, Wall-to wall Carpet, Vinyl / Linoleum",NA,"City Water, City Sewer","Central Air, Heat Pump - AC",Electric,1.29E+05,2003-03-27T00:00:00Z,3272003,2013-03-03T00:00:00Z,NA
430QUEENSRD431,Myers Park Manor,0,0,2003-03-27T00:00:00Z,listings_data/208291.html,Condo/Townhouse,Sold,41395,134900,430 QUEENS RD 431,Charlotte,"CHARLOTTE,28207",Mecklenburg,Unknown,1092,0,NA,2,41306,1092,0,0,0,0,0,0,0,NA,NA,No,1985,Unknown,Unknown,Unknown,NA,0,0,NA,Tri-Level,Traditional,Cedar Shake,Street / Lot,NA,Yes,Living Room,"Ceramic Tile, Wall-to wall Carpet, Vinyl / Linoleum",NA,"City Water, City Sewer","Central Air, Heat Pump - AC",Electric,1.29E+05,2003-03-27T00:00:00Z,3272003,2013-03-03T00:00:00Z,NA
430QUEENSRD431,NA,0,0,2004-08-27T00:00:00Z,listings_data/411324.html,Condo/Townhouse,Sold,41395,134900,430 Queens RD 431,Charlotte,"Charlotte,NC28207-1453",Mecklenburg,NA,1092,0,NA,2,41306,1092,0,0,0,0,0,0,0,NA,NA,No,1985,NA,NA,NA,NA,0,0,R,3 Story,Traditional,"Brick Veneer Partial, Shingle",Street / Lot,NA,Yes,Living Room,"Ceramic Tile, Wall-to wall Carpet",NA,"City Sewer, City Water","Central Air, Heat Pump - AC",Electric,137360,2004-08-27T00:00:00Z,8272004,2013-08-04T00:00:00Z,Myers Park Manor
430QUEENSRD431,NA,0,0,2009-11-12T00:00:00Z,listings_data/864457.html,Condo/Townhouse,Sold,41395,179900,430 Queens RD 431,Mecklenburg,"Charlotte,NC28207",Mecklenburg,NA,997,0,NA,2,41306,997,0,0,0,0,0,0,0,0,0,No,1985,NA,NA,NA,NA,0,126200,R,3 Story,Traditional,"Brick Veneer Partial, Shingle",Other,Asphalt,Yes,Living Room,NA,NA,"City Sewer, City Water",Central Air,Electric,167900,2009-11-12T00:00:00Z,11122009,2013-11-09T00:00:00Z,Myers Park Manor
430QUEENSRD511,Myers Park Manor,0,0,2001-12-17T00:00:00Z,listings_data/137720.html,Condo/Townhouse,Sold,41395,1.16E+05,430 QUEENS RD 511,Charlotte,"CHARLOTTE,28207",Mecklenburg,Unknown,900,0,NA,2,41306,900,0,0,0,0,0,0,0,NA,NA,No,1985,Unknown,Unknown,Unknown,NA,0,83160,R,Mid-Rise,Transitional,Wood,Street / Lot,NA,Yes,Living Room,"Ceramic Tile, Wall-to wall Carpet, Vinyl / Linoleum",NA,"City Water, City Sewer","Central Air, Heat Pump - AC",Electric,1.17E+05,2001-12-17T00:00:00Z,12172001,2013-12-01T00:00:00Z,NA
430QUEENSRD511,NA,0,0,2006-04-27T00:00:00Z,listings_data/575872.html,Condo/Townhouse,Sold,41395,1.35E+05,430 Queens RD 511,Charlotte,"Charlotte,NC28207",Mecklenburg,NA,898,0,NA,2,41306,898,0,0,0,0,0,0,0,NA,NA,No,1985,NA,NA,NA,NA,0,119100,R300,Garden,NA,Other,Other,Asphalt,Yes,Den,NA,NA,"City Sewer, City Water","Central Air, Heat Pump - Heat",Electric,1.37E+05,2006-04-27T00:00:00Z,4272006,2013-04-06T00:00:00Z,Myers Park Manor
430QUEENSRD631,NA,0,0,2001-05-25T00:00:00Z,listings_data/102364.html,Condo/Townhouse,Sold,41395,1.29E+05,430 QUEENS RD 631,Charlotte,"CHARLOTTE,28207-",Mecklenburg,Unknown,1050,0,NA,2,41306,1050,0,0,0,0,0,0,0,NA,NA,No,1985,Unknown,Unknown,Unknown,NA,0,85780,R43MF,Mid-Rise,Other,Wood,Street / Lot,NA,Yes,Living Room,"Wall-to wall Carpet, Vinyl / Linoleum",NA,"City Water, City Sewer","Central Air, Heat Pump - AC",Electric,1.23E+05,2001-05-25T00:00:00Z,5252001,2013-05-01T00:00:00Z,NA
430QUEENSRD631,NA,0,0,2003-07-31T00:00:00Z,listings_data/220031.html,Condo/Townhouse,Sold,41395,121900,430 QUEENS RD 631,Charlotte,"CHARLOTTE,28207",Mecklenburg,Unknown,1025,112,NA,2,41306,0,0,0,0,0,0,0,0,NA,NA,No,1985,Unknown,Unknown,Unknown,NA,0,123400,R43MF,Mid-Rise,Transitional,"Brick Veneer Partial, Shingle",Other,NA,Yes,Living Room,"Wood, Ceramic Tile, Wall-to wall Carpet",NA,"City Water, City Sewer","Central Air, Heat Pump - AC",Electric,1.19E+05,2003-07-31T00:00:00Z,7312003,2013-07-03T00:00:00Z,NA
430QUEENSRD632,NA,0,0,2004-07-16T00:00:00Z,listings_data/454749.html,Condo/Townhouse,Sold,41395,124900,430 Queens RD 632,Charlotte,"Charlotte,NC28207",Mecklenburg,Myers Park,975,0,112,2,41306,975,0,0,0,0,0,0,0,NA,NA,No,1985,Eastover,Alexander Graham,Myers Park,NA,0,123400,R300,Mid-Rise,Contemporary,"Shingle, Wood",Street / Lot,Asphalt,Yes,Great Room,"Ceramic Tile, Vinyl / Linoleum, Wall-to wall Carpet",NA,"City Sewer, City Water","Central Air, Heat Pump - AC, Heat Pump - Heat",Electric,124900,2004-07-16T00:00:00Z,7162004,2013-07-04T00:00:00Z,NA
430QUEENSRD632,NA,0,0,2006-09-15T00:00:00Z,listings_data/613097.html,Condo/Townhouse,Sold,41395,1.47E+05,430 Queens RD 632,Charlotte,"Charlotte,NC28207",Mecklenburg,NA,975,0,112,2,41306,975,0,0,0,0,0,0,0,NA,NA,No,1985,NA,NA,NA,NA,0,123400,R300,Mid-Rise,NA,Wood,2 Parking Spaces,Asphalt,No,NA,NA,NA,"City Sewer, City Water","Central Air, Heat Pump - AC, Heat Pump - Heat",Electric,1.43E+05,2006-09-15T00:00:00Z,9152006,2013-09-06T00:00:00Z,Myers Park
430QUEENSRD632,NA,0,0,2008-03-20T00:00:00Z,listings_data/712259.html,Condo/Townhouse,Sold,41395,164900,430 Queens RD 632,Charlotte,"Charlotte,NC28207",Mecklenburg,Myers Park,975,102,NA,2,41306,965,102,0,0,0,0,0,0,0,0,No,1985,Eastover,Alexander Graham,Myers Park,NA,0,123400,R43mf,Mid-Rise,Traditional,Wood,Street / Lot,Asphalt,Yes,Living Room,"Ceramic Tile, Wall-to wall Carpet, Wood",Insulated Windows,"City Sewer, City Water","Heat Pump - AC, Heat Pump - Heat",Electric,1.58E+05,2008-03-20T00:00:00Z,3202008,2013-03-08T00:00:00Z,Myers Park
430QUEENSRD732,NA,0,0,2003-12-12T00:00:00Z,listings_data/416815.html,Condo/Townhouse,Sold,41395,121900,430 QUEENS RD 732,Charlotte,"CHARLOTTE,NC28207-",Mecklenburg,Unknown,975,112,NA,2,41306,0,0,975,112,0,0,0,0,NA,NA,No,1985,Unknown,Unknown,Unknown,NA,0,123100,R43MF,Garden,Traditional,Shingle,2 Parking Spaces,Asphalt,Yes,Living Room,"Ceramic Tile, Laminate, Wall-to wall Carpet",Insulated Windows,"City Sewer, City Water","Central Air, Heat Pump - AC",Electric,118450,2003-12-12T00:00:00Z,12122003,2013-12-03T00:00:00Z,NA
430QUEENSRD732,NA,0,0,2007-03-23T00:00:00Z,listings_data/657034.html,Condo/Townhouse,Sold,41395,147900,430 Queens RD 732,Charlotte,"Charlotte,NC28207",Mecklenburg,Myers Park,975,0,112,2,41306,975,0,0,0,0,0,0,0,NA,NA,No,1985,Eastover,Alexander Graham,Myers Park,NA,0,123100,R43MF,Mid-Rise,Traditional,Wood,Street / Lot,Asphalt,Yes,Living Room,"Ceramic Tile, Vinyl / Linoleum, Wall-to wall Carpet",NA,"City Sewer, City Water","Central Air, Heat Pump - Heat",Electric,1.58E+05,2007-03-23T00:00:00Z,3232007,2013-03-07T00:00:00Z,Myers Park
4605CORONADODRP,Coventry Woods,1,21.04,2001-06-04T00:00:00Z,listings_data/109387.html,Condo/Townhouse,Sold,41335,4.50E+04,4605 CORONADO DR P,Charlotte,"CHARLOTTE,28212-",Mecklenburg,Garinger,700,84,NA,1,41275,700,84,0,0,0,0,0,0,NA,NA,No,1969,Idlewild,Albemarle,Garinger,NA,0,31260,R17MF,Garden,Transitional,Vinyl,1 Parking Space,NA,No,NA,"Wall-to wall Carpet, Vinyl / Linoleum",Storm Window(s),"City Water, Septic Tank",Heat Pump - AC,Electric,4.50E+04,2001-06-04T00:00:00Z,6042001,2013-06-01T00:00:00Z,NA
4605CORONADODRP,NA,1,21.04,2008-02-06T00:00:00Z,listings_data/694357.html,Condo/Townhouse,Sold,41335,3.10E+04,4605 Coronado DR P,Mecklenburg,"Charlotte,NC28212",Mecklenburg,NA,701,0,NA,1,41275,0,0,0,0,0,0,0,0,0,0,No,1969,University Meadows,James Martin,NA,NA,0,43500,R17mf,Garden,NA,"Brick Veneer Partial, Vinyl",Other,NA,No,NA,NA,NA,"City Sewer, City Water",Electric Hot Air,Electric,2.80E+04,2008-02-06T00:00:00Z,2062008,2013-02-08T00:00:00Z,Coventry Woods
4605HEDGEMOREDRD,Myers Park,1,32.3,2001-11-20T00:00:00Z,listings_data/136694.html,Condo/Townhouse,Sold,41396,113900,4605 HEDGEMORE DR D,Charlotte,"CHARLOTTE,28209-",Mecklenburg,Myers Park,1188,24,NA,2,41275,594,24,594,0,0,0,0,0,NA,NA,No,1968,Park Road,Sedgefield,Myers Park,NA,0,65530,R22MF,2 Story,Traditional,"Brick Veneer Partial, Hardboard Siding",2 Parking Spaces,NA,No,NA,"Ceramic Tile, Wall-to wall Carpet, Vinyl / Linoleum","Insulated Windows, Storm Door(s)","City Water, City Sewer","Central Air, Electric Hot Air",Electric,109500,2001-11-20T00:00:00Z,11202001,2013-11-01T00:00:00Z,NA
4605HEDGEMOREDRD,Myers Park,1,32.3,2003-02-26T00:00:00Z,listings_data/200045.html,Condo/Townhouse,Sold,41396,119900,4605 HEDGEMORE DR D,Charlotte,"CHARLOTTE,28209",Mecklenburg,Unknown,1188,24,NA,2,41275,594,24,594,0,0,0,0,0,NA,NA,No,1968,Unknown,Unknown,Unknown,NA,0,65530,R22,2 Story,Traditional,"Brick Veneer Partial, Hardboard Siding",2 Parking Spaces,NA,No,NA,"Wall-to wall Carpet, Vinyl / Linoleum, Prefinished Wood","Insulated Windows, Storm Door(s)","City Water, City Sewer",Central Air,Electric,111550,2003-02-26T00:00:00Z,2262003,2013-02-03T00:00:00Z,NA
4605HEDGEMOREDRD,NA,1,32.3,2009-09-30T00:00:00Z,listings_data/865735.html,Condo/Townhouse,Sold,41395,1.46E+05,4605 Hedgemore DR D,Charlotte,"Charlotte,NC28209",Mecklenburg,NA,1158,0,344,2,41275,570,0,588,0,0,0,0,0,0,0,No,1968,NA,NA,NA,NA,0,100900,R300,2 Story,Transitional,"Brick Veneer Partial, Wood","2 Parking Spaces, Street / Lot",NA,No,NA,"Ceramic Tile, Vinyl / Linoleum, Wall-to wall Carpet",Insulated Windows,"City Sewer, City Water","Heat Pump - AC, Heat Pump - Heat",Electric,1.40E+05,2009-09-30T00:00:00Z,9302009,2013-09-09T00:00:00Z,Myers Park
4605HEDGEMOREDRH,Myers Park,1,32.3,2003-01-30T00:00:00Z,listings_data/194959.html,Condo/Townhouse,Sold,41396,117900,4605 HEDGEMORE DR H,Charlotte,"CHARLOTTE,28209",Mecklenburg,Unknown,1188,24,NA,2,41275,594,24,594,0,0,0,0,0,NA,NA,No,1968,Unknown,Unknown,Unknown,NA,0,65530,R22MF,2 Story,Traditional,Brick Veneer Full,2 Parking Spaces,NA,No,NA,NA,NA,City Water,"Central Air, Heat Pump - AC",Electric,115500,2003-01-30T00:00:00Z,1302003,2013-01-03T00:00:00Z,NA
4605HEDGEMOREDRH,NA,1,32.3,2009-04-28T00:00:00Z,listings_data/824334.html,Condo/Townhouse,Sold,41396,1.35E+05,4605 Hedgemore DR H,Mecklenburg,"Charlotte,NC28209",Mecklenburg,Myers Park,1200,0,0,2,41275,700,0,500,0,0,0,0,0,0,0,No,1968,Selwyn,Alexander Graham,Myers Park,NA,0,106900,0,2 Story,Traditional,Brick Veneer Full,2 Parking Spaces,Asphalt,No,NA,"Vinyl / Linoleum, Wall-to wall Carpet, Wood","Storm Door(s), Storm Window(s)","City Sewer, City Water","Heat Pump - AC, Heat Pump - Heat",Electric,1.35E+05,2009-04-28T00:00:00Z,4282009,2013-04-09T00:00:00Z,Myers Park
4615CORONADODRD,Coventry Woods,1,21.04,2001-11-29T00:00:00Z,listings_data/122867.html,Condo/Townhouse,Sold,41335,72500,4615 CORONADO DR D,Charlotte,"CHARLOTTE,28212-",Mecklenburg,Unknown,1165,0,84,3,41306,1165,0,0,0,0,0,0,0,NA,NA,No,1969,Unknown,Unknown,Unknown,NA,0,52710,R17MF,2 Story,Traditional,"Brick Veneer Full, Vinyl",2 Parking Spaces,NA,No,NA,"Ceramic Tile, Wall-to wall Carpet",NA,"City Water, City Sewer","Central Air, Heat Pump - AC",Electric,72500,2001-11-29T00:00:00Z,11292001,2013-11-01T00:00:00Z,NA
4615CORONADODRD,NA,1,21.04,2009-02-27T00:00:00Z,listings_data/800762.html,Condo/Townhouse,Sold,41335,40500,4615 Coronado DR D,Mecklenburg,"Charlotte,NC28212",Mecklenburg,East Mecklenburg,1175,0,NA,3,41306,1175,0,0,0,0,0,0,0,0,0,No,1969,Idlewild,McClintock,East Mecklenburg,NA,0,68500,R17mf,Garden,NA,"Brick Veneer Partial, Vinyl",Other,NA,No,NA,NA,NA,"City Sewer, City Water",Electric Hot Air,Electric,35600,2009-02-27T00:00:00Z,2272009,2013-02-09T00:00:00Z,Coventry Woods
4725ROUNDINGRUNRD4725,Raintree,0,0,2001-07-13T00:00:00Z,listings_data/108346.html,Condo/Townhouse,Sold,41400,119900,4725 ROUNDING RUN RD 4725,Charlotte,"CHARLOTTE,28277",Mecklenburg,Providence,1726,0,NA,3,41306,884,0,842,0,0,0,0,0,NA,NA,No,1973,Elizabeth,South Charlotte,Providence,NA,0,114240,RPUD,2 Story,Contemporary,Wood,2 Car Carport,NA,Yes,Great Room,"Wood, Ceramic Tile, Wall-to wall Carpet",Storm Door(s),"City Water, City Sewer","Central Air, MultiZone A/C, Electric Hot Air",Gas,106800,2001-07-13T00:00:00Z,7132001,2013-07-01T00:00:00Z,NA
4725ROUNDINGRUNRD4725,NA,0,0,2006-03-03T00:00:00Z,listings_data/561811.html,Condo/Townhouse,Sold,41400,1.24E+05,4725 Rounding Run RD 4725,Charlotte,"Charlotte,NC28277",Mecklenburg,Providence,1769,836,836,3,41306,897,226,872,0,0,0,0,0,NA,NA,No,1973,Olde Providence,South Charlotte,Providence,NA,0,133600,Rpud,2 Story,Contemporary,Wood,"2 Car Carport, Attached",Asphalt,Yes,Den,"Laminate, Other, Vinyl / Linoleum, Wall-to wall Carpet",Storm Door(s),"City Sewer, City Water",Central Air,Electric,114500,2006-03-03T00:00:00Z,3032006,2013-03-06T00:00:00Z,Raintree
6229PADGETPARRISH6229,Bishops Ridge,2,-0.96,2001-09-28T00:00:00Z,listings_data/120067.html,Condo/Townhouse,Sold,41367,204990,6229 PADGET PARRISH 6229,Charlotte,"CHARLOTTE,28270-",Mecklenburg,Myers Park,2442,0,NA,2,41306,0,0,0,0,0,0,0,0,NA,NA,No,1985,Lansdowne,Mcclintock,Myers Park,NA,0,144200,R6,Tri-Level,Transitional,Hardboard Siding,2 Parking Spaces,NA,Yes,"Great Room, Living Room","Ceramic Tile, Parquet, Wall-to wall Carpet, Vinyl / Linoleum",NA,"City Water, City Sewer","Central Air, Heat Pump - AC",Electric,1.96E+05,2001-09-28T00:00:00Z,9282001,2013-09-01T00:00:00Z,NA
6229PADGETPARRISH6229,NA,2,-0.96,2004-07-20T00:00:00Z,listings_data/450213.html,Condo/Townhouse,Sold,41367,179900,6229 Padget Parrish 6229,Charlotte,"Charlotte,NC28270-7787",Mecklenburg,East Mecklenburg,2310,0,0,2,41306,830,0,684,0,0,0,797,0,NA,NA,No,1985,Lansdowne,Mcclintock,East Mecklenburg,NA,0,164300,MF,3 Story,Traditional,Hardboard Siding,2 Parking Spaces,Asphalt,Yes,"Den, Living Room","Ceramic Tile, Vinyl / Linoleum, Wall-to wall Carpet","Insulated Windows, Screen Door(s)","City Sewer, City Water","Heat Pump - AC, Heat Pump - Heat, MultiZone A/C, Multizone Heat",Electric,1.78E+05,2004-07-20T00:00:00Z,7202004,2013-07-04T00:00:00Z,Bishops Ridge
6722BEVERLYSPRINGSDR0,Beverly Crest,0,0,2001-12-11T00:00:00Z,listings_data/135144.html,Condo/Townhouse,Sold,41367,152700,6722 BEVERLY SPRINGS DR 0,Charlotte,"CHARLOTTE,28270",Mecklenburg,Providence,1467,220,NA,3,41306,915,220,552,0,0,0,0,0,NA,NA,No,1999,Elizabeth Lane,South Charlotte,Providence,NA,0,121390,R9PUD,"1.5 Story, Garden",Transitional,"Brick Veneer Partial, Vinyl","1 Car Garage, Garage Door Opener",NA,Yes,Great Room,"Wall-to wall Carpet, Vinyl / Linoleum, Prefinished Wood",Insulated Windows,"City Water, City Sewer","Central Air, Gas Hot Air",Gas,1.45E+05,2001-12-11T00:00:00Z,12112001,2013-12-01T00:00:00Z,NA
6722BEVERLYSPRINGSDR0,NA,0,0,2006-09-29T00:00:00Z,listings_data/619161.html,Condo/Townhouse,Sold,41367,157900,6722 Beverly Springs DR 0,Charlotte,"Charlotte,NC28270",Mecklenburg,Providence,1511,215,NA,3,41306,924,215,587,0,0,0,0,0,NA,NA,No,1999,Elizabeth Lane,South Charlotte,Providence,NA,0,142400,Res,2 Story,NA,"Brick Veneer Partial, Vinyl","1 Car Garage, Attached, Garage Door Opener",Concrete,Yes,"Gas Logs, Great Room","Ceramic Tile, Laminate, Vinyl / Linoleum, Wall-to wall Carpet","Insulated Windows, Storm Door(s)","City Sewer, City Water","Central Air, Gas Hot Air",Gas,157900,2006-09-29T00:00:00Z,9292006,2013-09-06T00:00:00Z,Beverly Crest
6840CONSTITUTION6840,Olde Georgetown,0,0,2001-11-30T00:00:00Z,listings_data/118118.html,Condo/Townhouse,Sold,41397,124900,6840 CONSTITUTION 6840,Charlotte,"CHARLOTTE,28210-",Mecklenburg,South Mecklenburg,1631,0,NA,3,41306,0,0,0,0,0,0,0,0,NA,NA,No,1975,Beverly Woods,Carmel,South Mecklenburg,NA,0,122980,R20MF,2 Story,Traditional,Brick Veneer Partial,2 Parking Spaces,NA,Yes,Living Room,"Wall-to wall Carpet, Vinyl / Linoleum","Storm Door(s), Storm Window(s)","City Water, City Sewer",Heat Pump - AC,Electric,1.20E+05,2001-11-30T00:00:00Z,11302001,2013-11-01T00:00:00Z,NA
6840CONSTITUTION6840,NA,0,0,2004-06-29T00:00:00Z,listings_data/453631.html,Condo/Townhouse,Sold,41397,163500,6840 Constitution 6840,Charlotte,"Charlotte,NC28210",Mecklenburg,NA,1664,0,0,3,41306,916,0,748,0,0,0,0,0,NA,NA,No,1974,NA,NA,NA,NA,0,127900,R-20 MF,2 Story,Traditional,Brick Veneer Full,2 Parking Spaces,Asphalt,Yes,Living Room,"Wall-to wall Carpet, Wood","Storm Door(s), Storm Window(s)","City Sewer, City Water","Central Air, Heat Pump - AC, Heat Pump - Heat",Electric,1.58E+05,2004-06-29T00:00:00Z,6292004,2013-06-04T00:00:00Z,Olde Georgetown
