Address,subdiv.x,treat,eoc_diff,sold,fname,htype,hstatus,harea,lp,address,taxloc,city,county,high,total_hla,unheated_sqft,add_sqft,beds,baths,main_hla,main_un,upper_hla,upper_un,lower_hla,lower_un,bsmt_hla,bsmt_un,third_hla,third_un,new_construct,year_built,elem,middle,high__1,dimension,acres,tax_value,zoning,htype__1,style,exterior,parking,driveway,fireplace,fireplace_loc,floor,windows,water,hvac,heater,sp,sold__1,sold2,sold3,subdiv
404LAURELAVE41,NA,1,32.3,2002-05-08T00:00:00Z,listings_data/157185.html,Condo/Townhouse,Sold,41365,1.62E+05,404 LAUREL AVE 41,Charlotte,"CHARLOTTE,28204-",Mecklenburg,West Charlotte,1300,0,NA,1,41275,1300,0,0,0,0,0,0,0,NA,NA,No,1998,Eastover,Alexander Graham,West Charlotte,NA,0,148890,2,Mid-Rise,Transitional,"Brick Veneer Partial, Other",Parking Gar,Asphalt,No,NA,"Wood, Vinyl / Linoleum",NA,"City Water, City Sewer","Central Air, Heat Pump - AC",Electric,1.60E+05,2002-05-08T00:00:00Z,5082002,2013-05-02T00:00:00Z,NA
404LAURELAVE41,NA,1,32.3,2003-07-15T00:00:00Z,listings_data/224646.html,Condo/Townhouse,Sold,41365,1.73E+05,404 LAUREL AVE 41,Charlotte,"CHARLOTTE,28204-",Mecklenburg,Myers Park,1320,0,NA,1,41275,1012,0,308,0,0,0,0,0,NA,NA,No,1998,Eastover,Alexander Graham,Myers Park,NA,0,130900,2,Mid-Rise,"Contemporary, Transitional",Brick Veneer Partial,"Garage Door Opener, 1 Parking Space, Parking Gar",NA,No,NA,"Wood, Wall-to wall Carpet, Vinyl / Linoleum",Insulated Windows,"City Water, City Sewer","Central Air, Heat Pump - AC",Electric,1.70E+05,2003-07-15T00:00:00Z,7152003,2013-07-03T00:00:00Z,NA
404LAURELAVE42N,NA,1,32.3,2006-11-07T00:00:00Z,listings_data/626131.html,Condo/Townhouse,Sold,41365,1.85E+05,404 Laurel AVE 42 N,Charlotte,"Charlotte,NC28204",Mecklenburg,Myers Park,1110,0,0,1,41275,1110,0,0,0,0,0,0,0,NA,NA,No,1998,Eastover,Alexander Graham,Myers Park,NA,0,150100,O2,Mid-Rise,Transitional,"Brick Veneer Partial, Concrete Block",Parking Gar,NA,No,NA,"Ceramic Tile, Wood",Insulated Windows,"City Sewer, City Water","Central Air, Heat Pump - Heat",Electric,1.86E+05,2006-11-07T00:00:00Z,11072006,2013-11-06T00:00:00Z,NA
404LAURELAVE42N,NA,1,32.3,2009-12-28T00:00:00Z,listings_data/858835.html,Condo/Townhouse,Sold,41365,169900,404 Laurel AVE 42 N,Charlotte,"Charlotte,NC28204",Mecklenburg,Myers Park,1022,0,NA,1,41275,816,0,206,0,0,0,0,0,0,0,No,1998,Eastover,Alexander Graham,Myers Park,NA,0,150100,2,Mid-Rise,Transitional,"Brick Veneer Partial, Concrete Block","1 Parking Space, Keypad Entry, Parking Gar",Asphalt,No,NA,"Ceramic Tile, Wall-to wall Carpet, Wood",Insulated Windows,"City Sewer, City Water","Central Air, Heat Pump - AC, Heat Pump - Heat",Electric,1.65E+05,2009-12-28T00:00:00Z,12282009,2013-12-09T00:00:00Z,None
416QUEENSRD10,Myers Park,1,32.3,2003-08-29T00:00:00Z,listings_data/237584.html,Condo/Townhouse,Sold,41395,269500,416 QUEENS RD 10,Charlotte,"CHARLOTTE,28207-",Mecklenburg,Unknown,1400,0,NA,3,41334,0,0,0,0,0,0,0,0,NA,NA,No,1997,Unknown,Unknown,Unknown,NA,0,247300,R,Mid-Rise,Transitional,"Brick Veneer Partial, Synthetic Stucco",Parking Gar,NA,Yes,Living Room,"Wood, Ceramic Tile, Wall-to wall Carpet",NA,"City Water, City Sewer","Central Air, Heat Pump - AC",Electric,2.56E+05,2003-08-29T00:00:00Z,8292003,2013-08-03T00:00:00Z,NA
416QUEENSRD10,NA,1,32.3,2006-12-29T00:00:00Z,listings_data/622154.html,Condo/Townhouse,Sold,41395,3.25E+05,416 Queens RD 10,Charlotte,"Charlotte,NC28207",Mecklenburg,NA,1394,0,0,3,41334,697,0,697,0,0,0,0,0,NA,NA,No,1997,NA,NA,NA,NA,0,247300,R43mf,Mid-Rise,Transitional,"Brick Veneer Partial, Synthetic Stucco","1 Parking Space, Parking Gar",Concrete,Yes,"Gas Logs, Living Room","Ceramic Tile, Wall-to wall Carpet, Wood",NA,"City Sewer, City Water","Central Air, Heat Pump - Heat",Electric,3.15E+05,2006-12-29T00:00:00Z,12292006,2013-12-06T00:00:00Z,Myers Park
416QUEENSRD13,NA,1,32.3,2001-11-02T00:00:00Z,listings_data/105548.html,Condo/Townhouse,Sold,41395,189900,416 QUEENS RD 13,Charlotte,"CHARLOTTE,28207-",Mecklenburg,West Charlotte,1012,0,NA,2,41306,1012,0,0,0,0,0,0,0,NA,NA,No,1997,Eastover,Alexander Graham,West Charlotte,NA,0,0,R43MF,Mid-Rise,Traditional,"Brick Veneer Partial, Synthetic Stucco","1 Car Garage, Garage Door Opener, Parking Gar",Concrete,Yes,Living Room,"Parquet, Wall-to wall Carpet, Vinyl / Linoleum",Insulated Windows,"City Water, City Sewer","Central Air, Heat Pump - AC",Electric,184500,2001-11-02T00:00:00Z,11022001,2013-11-01T00:00:00Z,NA
416QUEENSRD13,MYERS PARK,1,32.3,2001-11-02T00:00:00Z,listings_data/105548.html,Condo/Townhouse,Sold,41395,189900,416 QUEENS RD 13,Charlotte,"CHARLOTTE,28207-",Mecklenburg,West Charlotte,1012,0,NA,2,41306,1012,0,0,0,0,0,0,0,NA,NA,No,1997,Eastover,Alexander Graham,West Charlotte,NA,0,0,R43MF,Mid-Rise,Traditional,"Brick Veneer Partial, Synthetic Stucco","1 Car Garage, Garage Door Opener, Parking Gar",Concrete,Yes,Living Room,"Parquet, Wall-to wall Carpet, Vinyl / Linoleum",Insulated Windows,"City Water, City Sewer","Central Air, Heat Pump - AC",Electric,184500,2001-11-02T00:00:00Z,11022001,2013-11-01T00:00:00Z,NA
416QUEENSRD13,NA,1,32.3,2003-11-25T00:00:00Z,listings_data/241322.html,Condo/Townhouse,Sold,41395,184900,416 QUEENS RD 13,Mecklenburg,"CHARLOTTE,NC28207-1434",Mecklenburg,Unknown,1012,0,NA,2,41306,1012,0,0,0,0,0,0,0,NA,NA,No,1997,Unknown,Unknown,Unknown,NA,0,184900,MFR,Mid-Rise,Transitional,"Brick Veneer Partial, Synthetic Stucco","1 Car Garage, Garage Door Opener, Parking Gar",Concrete,Yes,Living Room,"Ceramic Tile, Vinyl / Linoleum, Wall-to wall Carpet",Insulated Windows,"City Sewer, City Water","Central Air, Heat Pump - AC",Electric,184900,2003-11-25T00:00:00Z,11252003,2013-11-03T00:00:00Z,NA
416QUEENSRD13,NA,1,32.3,2007-10-10T00:00:00Z,listings_data/688197.html,Condo/Townhouse,Sold,41395,2.65E+05,416 Queens RD 13,Charlotte,"Charlotte,NC28207",Mecklenburg,Myers Park,1012,0,NA,2,41306,460,0,552,0,0,0,0,0,0,0,No,1997,Eastover,Alexander Graham,Myers Park,NA,0,184900,MFR,2 Story,Transitional,"Brick Veneer Partial, Synthetic Stucco","1 Parking Space, Garage Door Opener, Parking Gar",Concrete,Yes,Living Room,"Parquet, Vinyl / Linoleum, Wall-to wall Carpet",Insulated Windows,"City Sewer, City Water","Central Air, Heat Pump - Heat",Electric,2.55E+05,2007-10-10T00:00:00Z,10102007,2013-10-07T00:00:00Z,MYERS PARK
